,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Butte,California,12-31-2024,WOAH Non-Poultry,70
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
6,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
9,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
10,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Audrain,Missouri,12-28-2023,WOAH Poultry,330
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
27,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
30,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
31,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
32,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
33,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
34,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
35,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
36,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
37,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
40,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
44,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
47,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
48,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
50,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,40300
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
58,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
59,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
60,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
61,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
62,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
63,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
64,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
65,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
66,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
67,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
68,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
69,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
70,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
71,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
76,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
77,Greene,Ohio,12-19-2024,WOAH Poultry,110
78,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
79,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
80,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
81,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
82,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
83,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
84,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
85,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
86,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
87,King,Washington,12-19-2023,WOAH Poultry,90
88,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
89,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
90,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
91,Lassen,California,12-19-2023,WOAH Non-Poultry,90
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
94,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
95,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
96,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
97,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
98,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
99,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
100,Sonoma,California,12-18-2023,WOAH Poultry,38100
101,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
102,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
103,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
104,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
105,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
106,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
107,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
108,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
109,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
110,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
111,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
112,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
113,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
114,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
115,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
116,Butte,California,12-16-2022,WOAH Non-Poultry,20
117,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
118,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
119,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
124,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
125,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
126,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
127,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
128,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
129,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
130,Weakley,Tennessee,12-14-2022,WOAH Poultry,37900
131,Knox,Nebraska,12-14-2022,WOAH Poultry,160
132,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100
133,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
134,Spink,South Dakota,12-14-2022,WOAH Poultry,280
135,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
136,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40900
137,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200
138,Tulare,California,12-13-2024,Commercial Broiler Production,514500
139,Weld,Colorado,12-13-2023,WOAH Non-Poultry,30
140,Merced,California,12-13-2023,Commercial Broiler Production,183100
141,Merced,California,12-13-2023,Commercial Table Egg Layer,1358600
142,Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000
143,San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000
144,Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000
145,Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,11400
146,Linn,Oregon,12-13-2022,WOAH Non-Poultry,20
147,Columbia,Oregon,12-13-2022,WOAH Non-Poultry,100
148,Craighead,Arkansas,12-12-2024,WOAH Non-Poultry,10
149,Kingsbury,South Dakota,12-12-2024,Commercial Turkey Meat Bird,39300
150,Pope,Arkansas,12-12-2024,WOAH Non-Poultry,40
151,Sac,Iowa,12-12-2024,Commercial Turkey Meat Bird,45200
152,Dutchess,New York,12-12-2023,WOAH Poultry,4200
153,Lake,South Dakota,12-12-2023,Commercial Turkey Meat Bird,76000
154,St. Louis,Missouri,12-12-2023,WOAH Non-Poultry,20
155,Etowah,Alabama,12-12-2023,WOAH Non-Poultry,80
156,Sac,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
157,Hanson,South Dakota,12-12-2022,Commercial Turkey Meat Bird,23900
158,Cherokee,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
159,Buena Vista,Iowa,12-12-2022,Commercial Turkey Meat Bird,51200
160,Ida,Iowa,12-12-2022,Commercial Turkey Meat Bird,90000
161,Wadena,Minnesota,12-12-2022,Commercial Turkey Meat Bird,298100
162,Adair,Oklahoma,12-11-2024,WOAH Poultry,40000
163,Palo Alto,Iowa,12-11-2024,Commercial Turkey Meat Bird,31100
164,Dodge,Nebraska,12-11-2024,WOAH Non-Poultry,10
165,Brule,South Dakota,12-11-2024,Commercial Turkey Meat Bird,50900
166,Sioux,Iowa,12-11-2024,Commercial Table Egg Layer,1575700
167,Olmsted,Minnesota,12-11-2023,Commercial Turkey Breeder Hens,14400
168,Jefferson,Idaho,12-10-2024,WOAH Non-Poultry,60
169,Franklin,Idaho,12-10-2024,WOAH Non-Poultry,40
170,Jewell,Kansas,12-10-2024,WOAH Non-Poultry,40
171,Beadle,South Dakota,12-10-2024,Commercial Turkey Meat Bird,52200
172,Tulare,California,12-10-2024,Commercial Broiler Production,330200
173,Moody,South Dakota,12-10-2024,Commercial Turkey Meat Bird,46700
174,Charles Mix,South Dakota,12-10-2024,Commercial Turkey Meat Bird,32400
175,Stanislaus,California,12-10-2024,Commercial Duck Breeder,81800
176,La Plata,Colorado,12-10-2024,WOAH Non-Poultry,20
177,Cedar,Missouri,12-10-2024,WOAH Non-Poultry,20
178,Daviess,Missouri,12-10-2024,WOAH Poultry,19900
179,Beadle,South Dakota,12-09-2024,Commercial Turkey Meat Bird,50600
180,Kern,California,12-09-2024,WOAH Poultry,45400
181,Hutchinson,South Dakota,12-09-2024,Commercial Turkey Meat Bird,42800
182,Lafayette,Arkansas,12-09-2024,WOAH Non-Poultry,40
183,Onslow,North Carolina,12-09-2022,WOAH Non-Poultry,60
184,Prowers,Colorado,12-09-2022,Commercial Upland Gamebird Producer,11000
185,Osage,Missouri,12-09-2022,Commercial Turkey Meat Bird,19700
186,Clackamas,Oregon,12-09-2022,WOAH Non-Poultry,60
187,Polk,Oregon,12-09-2022,WOAH Non-Poultry,70
188,Barton,Kansas,12-08-2023,WOAH Non-Poultry,30
189,Charles Mix,South Dakota,12-08-2023,Commercial Turkey Meat Bird,32400
190,Barron,Wisconsin,12-08-2023,Commercial Turkey Meat Bird,70000
191,Mills,Iowa,12-08-2023,WOAH Non-Poultry,10
192,Dodge,Minnesota,12-08-2022,Commercial Turkey Meat Bird,10000
193,Dade,Missouri,12-08-2022,WOAH Non-Poultry,30
194,Hamlin,South Dakota,12-08-2022,Commercial Turkey Meat Bird,58100
195,Orleans,Vermont,12-07-2023,WOAH Non-Poultry,40
196,Stanislaus,California,12-07-2023,Commercial Broiler Production,258600
197,Montmorency,Michigan,12-07-2023,WOAH Poultry,100
198,Hardin,Ohio,12-07-2023,Commercial Table Egg Layer,2613600
199,Sonoma,California,12-07-2023,Commercial Duck Meat Bird,4900
200,Darke,Ohio,12-07-2023,Commercial Turkey Meat Bird,15200
201,Carroll,Arkansas,12-07-2023,Commercial Turkey Meat Bird,33300
202,Cherokee,Iowa,12-07-2022,Commercial Turkey Meat Bird,105000
203,Kingsbury,South Dakota,12-07-2022,WOAH Non-Poultry,70
204,Sac,Iowa,12-07-2022,Commercial Turkey Meat Bird,40000
205,Sioux,Iowa,12-06-2024,Commercial Table Egg Layer,4200000
206,Pitkin,Colorado,12-06-2024,WOAH Non-Poultry,50
207,Nemaha,Nebraska,12-06-2024,Commercial Turkey Breeder Hens,12400
208,Stanislaus,California,12-06-2024,WOAH Poultry,44100
209,Washakie,Wyoming,12-06-2024,WOAH Non-Poultry,20
210,Bon Homme,South Dakota,12-06-2023,Commercial Turkey Meat Bird,47600
211,Sonoma,California,12-06-2023,Commercial Table Egg Layer,232000
212,Becker,Minnesota,12-06-2023,Commercial Breeder Operation,20600
213,Todd,Minnesota,12-06-2023,Commercial Turkey Meat Bird,64000
214,Hamlin,South Dakota,12-06-2023,Commercial Turkey Meat Bird,56200
215,Pawnee,Oklahoma,12-06-2022,WOAH Non-Poultry,30
216,Harrison,Missouri,12-06-2022,WOAH Non-Poultry,30
217,Denton,Texas,12-06-2022,WOAH Non-Poultry,40
218,Larimer,Colorado,12-06-2022,WOAH Non-Poultry,2
219,Lamoille,Vermont,12-06-2022,WOAH Non-Poultry,50
220,San Joaquin,California,12-05-2024,Commercial Duck Meat Bird,13000
221,Merced,California,12-05-2024,Commercial Table Egg Layer,1723800
222,Merced,California,12-05-2024,Commercial Table Egg Layer,793700
223,Merced,California,12-05-2024,Commercial Table Egg Layer,306100
224,Otter Tail,Minnesota,12-05-2023,Commercial Turkey Meat Bird,26300
225,Shawnee,Kansas,12-05-2023,WOAH Non-Poultry,70
226,Stanislaus,California,12-05-2023,Commercial Broiler Production,254400
227,Stanislaus,California,12-05-2023,Commercial Broiler Production,239900
228,Kingsbury,South Dakota,12-05-2023,WOAH Non-Poultry,370
229,Spink,South Dakota,12-05-2023,Commercial Turkey Meat Bird,26600
230,Lawrence,Alabama,12-05-2022,WOAH Non-Poultry,460
231,Buena Vista,Iowa,12-05-2022,Commercial Turkey Meat Bird,40700
232,Charles Mix,South Dakota,12-05-2022,Commercial Turkey Meat Bird,34100
233,Clark,South Dakota,12-05-2022,Commercial Turkey Meat Bird,24300
234,Stanislaus,California,12-04-2024,Commercial Turkey Meat Bird,23100
235,Stanislaus,California,12-04-2024,Commercial Turkey Meat Bird,57700
236,Sacramento,California,12-04-2024,Commercial Turkey Meat Bird,61200
237,Riverside,California,12-04-2024,WOAH Non-Poultry,70
238,Stanislaus,California,12-04-2024,Commercial Table Egg Layer,720800
239,Charles Mix,South Dakota,12-04-2024,Commercial Turkey Meat Bird,65200
