,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
2,Butte,California,12-31-2024,WOAH Non-Poultry,70
3,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
4,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
5,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
7,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
8,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
9,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
10,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
19,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
20,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
24,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
26,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
27,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
28,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
29,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
30,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
31,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
32,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
33,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
34,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
35,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
36,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
40,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
44,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
45,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
46,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
47,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
48,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
49,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
50,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
