,County,State,Outbreak Date,Flock Type,Flock Size
0,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
2,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
3,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
4,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
5,Butte,California,12-31-2024,WOAH Non-Poultry,70
6,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
9,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
10,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
11,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Audrain,Missouri,12-28-2023,WOAH Poultry,330
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
27,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
28,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
29,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
30,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
31,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
32,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
33,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
34,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
35,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
40,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
44,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
45,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
46,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
47,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
48,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
50,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
58,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
59,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
60,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
61,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
62,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
63,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
64,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
65,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
66,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
67,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
68,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
69,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
70,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
71,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
76,Greene,Ohio,12-19-2024,WOAH Poultry,110
77,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
78,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
79,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
80,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
