,County,State,Outbreak Date,Flock Type,Flock Size
0,Butte,California,12-31-2024,WOAH Non-Poultry,70
1,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
2,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
6,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
7,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
8,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
11,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Audrain,Missouri,12-28-2023,WOAH Poultry,330
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
27,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
28,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
29,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
30,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
31,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
32,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
33,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
34,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
35,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
36,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
37,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
38,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
39,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
44,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
45,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
46,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
47,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
48,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
49,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
50,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,40300
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
58,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
59,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
60,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
61,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
62,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
63,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
64,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
65,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
66,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
67,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
68,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
69,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
70,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
71,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
72,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
73,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
74,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
75,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
76,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
77,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
78,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
79,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
80,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
81,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
82,Greene,Ohio,12-19-2024,WOAH Poultry,110
83,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
84,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
85,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
86,King,Washington,12-19-2023,WOAH Poultry,90
87,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
88,Lassen,California,12-19-2023,WOAH Non-Poultry,90
89,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
90,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
91,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
94,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
95,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
96,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
97,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
98,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
99,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
100,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
101,Sonoma,California,12-18-2023,WOAH Poultry,38100
102,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
103,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
