,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
4,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
5,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
6,Butte,California,12-31-2024,WOAH Non-Poultry,70
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
9,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
10,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Audrain,Missouri,12-28-2023,WOAH Poultry,330
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
24,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
26,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
27,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
30,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
31,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
32,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
33,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
34,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
35,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
36,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
37,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
38,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
39,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
44,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
45,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
46,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
47,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
48,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
50,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
56,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
57,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
58,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
59,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
60,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
61,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
62,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
63,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
64,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
65,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
66,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
67,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
68,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
69,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
70,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
71,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
72,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
73,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
74,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
75,Greene,Ohio,12-19-2024,WOAH Poultry,110
76,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
77,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
78,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
79,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
80,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
81,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
82,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
83,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
84,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
85,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
86,Lassen,California,12-19-2023,WOAH Non-Poultry,90
87,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
88,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
89,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
90,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
91,King,Washington,12-19-2023,WOAH Poultry,90
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
94,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
95,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
96,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
97,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
98,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
99,Sonoma,California,12-18-2023,WOAH Poultry,38100
100,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
101,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
102,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
103,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
104,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
105,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
106,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
107,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
108,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
