,County,State,Outbreak Date,Flock Type,Flock Size
0,Butte,California,12-31-2024,WOAH Non-Poultry,70
1,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
4,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
5,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
6,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
7,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
8,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
9,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
10,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Audrain,Missouri,12-28-2023,WOAH Poultry,330
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
27,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
28,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
29,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
30,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
31,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
32,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
33,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
34,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
35,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
38,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
39,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
44,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
47,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
48,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
50,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
56,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
57,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
58,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
59,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
60,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
61,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
62,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
63,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
64,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
65,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
66,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
67,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
68,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
69,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
70,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
71,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
74,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
75,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
76,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
77,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
78,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
79,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
80,Greene,Ohio,12-19-2024,WOAH Poultry,110
81,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
82,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
83,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
84,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
85,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
86,King,Washington,12-19-2023,WOAH Poultry,90
87,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
88,Lassen,California,12-19-2023,WOAH Non-Poultry,90
89,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
90,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
91,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
94,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
95,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
96,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
97,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
98,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
99,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
100,Sonoma,California,12-18-2023,WOAH Poultry,38100
101,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
102,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
103,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
