,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
2,Butte,California,12-31-2024,WOAH Non-Poultry,70
3,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
4,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
6,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
9,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
22,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
27,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
28,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
29,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
30,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
31,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
32,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
33,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
34,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
35,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
36,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
37,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
38,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
39,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
40,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
44,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
47,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
48,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
49,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
50,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
51,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,40300
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
58,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
59,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
60,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
61,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
62,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
63,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
64,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
65,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
66,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
67,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
68,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
69,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
70,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
71,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
72,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
73,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
74,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
75,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
76,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
77,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
78,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
79,Greene,Ohio,12-19-2024,WOAH Poultry,110
80,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
81,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
82,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
83,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
84,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
85,King,Washington,12-19-2023,WOAH Poultry,90
86,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
87,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
88,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
89,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
90,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
91,Lassen,California,12-19-2023,WOAH Non-Poultry,90
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
94,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
95,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
96,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
97,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
98,Sonoma,California,12-18-2023,WOAH Poultry,38100
99,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
100,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
101,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
102,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
103,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
104,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
105,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
106,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
107,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
108,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
109,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
110,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
111,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
112,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
113,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
114,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
115,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
116,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
117,Butte,California,12-16-2022,WOAH Non-Poultry,20
118,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
119,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
124,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
125,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
126,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
127,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
128,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
129,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
130,Knox,Nebraska,12-14-2022,WOAH Poultry,160
131,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100
132,Weakley,Tennessee,12-14-2022,WOAH Poultry,37900
133,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
134,Spink,South Dakota,12-14-2022,WOAH Poultry,280
135,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
136,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500
137,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200
138,Tulare,California,12-13-2024,Commercial Broiler Production,514500
139,Merced,California,12-13-2023,Commercial Broiler Production,183100
140,San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000
141,Weld,Colorado,12-13-2023,WOAH Non-Poultry,30
142,Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000
143,Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000
144,Merced,California,12-13-2023,Commercial Table Egg Layer,1358600
145,Columbia,Oregon,12-13-2022,WOAH Non-Poultry,100
