,County,State,Outbreak Date,Flock Type,Flock Size
0,Butte,California,12-31-2024,WOAH Non-Poultry,70
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
6,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
7,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
8,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
9,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
10,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
20,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
26,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
27,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
28,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
29,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
30,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
31,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
32,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
33,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
34,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
35,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
36,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
