,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Butte,California,12-31-2024,WOAH Non-Poultry,70
2,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
3,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
4,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
6,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
27,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
28,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
29,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
30,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
31,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
32,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
33,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
34,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
35,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
40,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
44,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
45,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
46,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
47,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
48,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
49,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
50,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
58,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
59,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
60,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
61,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
62,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
63,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
64,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
65,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
66,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
67,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
68,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
69,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
70,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
71,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
72,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
