,County,State,Outbreak Date,Flock Type,Flock Size
1562,San Joaquin,California,01-09-2023,WOAH Non-Poultry,10
1563,Scotts Bluff,Nebraska,01-09-2023,WOAH Non-Poultry,7
1564,Sonoma,California,01-09-2023,WOAH Non-Poultry,6
1565,Sonoma,California,01-09-2023,WOAH Non-Poultry,20
1566,Darke,Ohio,01-08-2025,Commercial Table Egg Layer,245300
1567,Perry,Missouri,01-08-2025,WOAH Non-Poultry,20
1568,Arapahoe,Colorado,01-08-2024,WOAH Non-Poultry,20
1569,Merced,California,01-08-2024,WOAH Non-Poultry,30
1570,Sacramento,California,01-08-2024,WOAH Non-Poultry,30
1571,Jay,Indiana,01-07-2025,Commercial Turkey Meat Bird,20300
1572,Clinton,Iowa,01-07-2025,WOAH Non-Poultry,40
1573,Hyde,North Carolina,01-07-2025,Commercial Table Egg Layer,3314900
1574,Hanson,South Dakota,01-07-2025,WOAH Non-Poultry,50
1575,Palm Beach,Florida,01-07-2025,WOAH Non-Poultry,4
1576,Olmsted,Minnesota,01-06-2025,WOAH Non-Poultry,120
1577,Thurston,Washington,01-06-2023,WOAH Non-Poultry,120
1578,Weld,Colorado,01-06-2023,WOAH Non-Poultry,40
1579,Washburn,Wisconsin,01-05-2024,Commercial Turkey Meat Bird,41000
1580,Codington,South Dakota,01-05-2023,WOAH Poultry,140
1581,Ottawa,Michigan,01-04-2025,Commercial Turkey Meat Bird,47000
1582,Kent,Delaware,01-04-2025,Commercial Broiler Production,125000
1583,Ottawa,Michigan,01-04-2025,Commercial Turkey Meat Bird,55200
1584,Rice,Kansas,01-04-2024,Commercial Table Egg Pullets,240000
1585,Anderson,Kansas,01-04-2023,Commercial Upland Gamebird Producer,8900
1586,Johnson,Missouri,01-04-2023,WOAH Non-Poultry,30
1587,Josephine,Oregon,01-04-2023,WOAH Non-Poultry,30
1588,Sharp,Arkansas,01-03-2025,WOAH Non-Poultry,20
1589,Canyon,Idaho,01-03-2025,WOAH Non-Poultry,20
1590,Butte,California,01-03-2025,Commercial Raised for Release Upland Game Bird,44700
1591,Pocahontas,West Virginia,01-03-2025,WOAH Poultry,9
1592,Canyon,Idaho,01-03-2025,WOAH Non-Poultry,20
1593,Stanislaus,California,01-03-2025,Commercial Broiler Production,236100
1594,Canyon,Idaho,01-03-2025,WOAH Non-Poultry,20
1595,Canyon,Idaho,01-03-2025,WOAH Non-Poultry,70
1596,Merced,California,01-03-2024,Commercial Table Egg Layer,764300
1597,Merced,California,01-03-2024,Commercial Broiler Production,534800
1598,Sonoma,California,01-03-2024,Commercial Broiler Production,77900
1599,Stanislaus,California,01-02-2025,Commercial Table Egg Layer,75200
