,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
1,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
6,Butte,California,12-31-2024,WOAH Non-Poultry,70
7,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
8,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
27,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
28,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
29,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
30,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
31,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
32,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
33,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
34,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
35,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
36,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
37,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
40,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
44,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
45,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
46,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
47,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
48,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
49,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
50,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
58,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
59,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
60,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
61,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
62,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
63,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
64,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
65,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
66,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
67,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
68,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
