,County,State,Outbreak Date,Flock Type,Flock Size
0,Adams,Indiana,3/7/2025,Commercial Duck Breeder,3200
1,Bronx,New York,3/7/2025,Live Bird Market,890
2,Richmond,New York,3/7/2025,Live Bird Market,420
3,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,22100
4,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,9500
5,Monroe,Michigan,3/6/2025,WOAH Non-Poultry,40
6,Jay,Indiana,3/4/2025,Commercial Table Egg Layer,187200
7,Will,Illinois,3/4/2025,WOAH Non-Poultry,50
8,Multnomah,Oregon,3/4/2025,WOAH Non-Poultry,40
9,Queens,New York,3/3/2025,Live Bird Market,150
10,Queens,New York,3/3/2025,Live Bird Market,0
11,Portage,Ohio,2/28/2025,WOAH Non-Poultry,40
12,Suffolk,New York,2/28/2025,WOAH Non-Poultry,3
13,Dare,North Carolina,2/28/2025,WOAH Non-Poultry,20
14,Hot Springs,Wyoming,2/28/2025,WOAH Non-Poultry,10
15,Collier,Florida,2/27/2025,WOAH Non-Poultry,30
16,Miami-dade,Florida,2/27/2025,WOAH Poultry,120
17,Westchester,New York,2/26/2025,WOAH Non-Poultry,100
18,Dukes,Massachusetts,2/26/2025,WOAH Non-Poultry,50
19,Cumberland,Maine,2/26/2025,WOAH Non-Poultry,30
20,Mercer,Ohio,2/25/2025,Commercial Table Egg Layer,90000
21,Jasper,Indiana,2/25/2025,WOAH Non-Poultry,90
22,Lagrange,Indiana,2/25/2025,Commercial Duck Breeder,3800
23,Monroe,Michigan,2/25/2025,WOAH Non-Poultry,10
24,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,18600
25,Elkhart,Indiana,2/25/2025,Commercial Duck Breeder,1800
26,Union,Indiana,2/25/2025,WOAH Non-Poultry,40
27,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,16500
28,Philadelphia,Pennsylvania,2/24/2025,Live Bird Market,1100
29,Union,New Jersey,2/22/2025,Live Bird Market,840
30,Washington,Indiana,2/21/2025,Commercial Turkey Meat Bird,19400
31,Broward,Florida,2/21/2025,WOAH Non-Poultry,10
32,Delaware,New York,2/21/2025,WOAH Non-Poultry,240
33,Mercer,Ohio,2/21/2025,WOAH Poultry,55900
34,Mercer,Ohio,2/21/2025,Commercial Table Egg Layer,84800
35,Darke,Ohio,2/21/2025,Commercial Table Egg Layer,3090400
36,Elkhart,Indiana,2/21/2025,Commercial Duck Meat Bird,4200
37,Luzerne,Pennsylvania,2/20/2025,WOAH Non-Poultry,90
38,Butler,Pennsylvania,2/20/2025,WOAH Non-Poultry,610
39,Cumberland,Maine,2/20/2025,WOAH Non-Poultry,80
40,Sac,Iowa,2/20/2025,Commercial Turkey Meat Bird,29700
41,Graham,Arizona,2/19/2025,WOAH Non-Poultry,280
42,Mercer,Ohio,2/18/2025,Commercial Turkey Meat Bird,10600
43,Churchill,Nevada,2/18/2025,WOAH Non-Poultry,20
44,Darke,Ohio,2/18/2025,Commercial Table Egg Layer,164900
45,Stark,Ohio,2/18/2025,WOAH Non-Poultry,30
46,Washington,Indiana,2/14/2025,Commercial Turkey Meat Bird,14100
47,Jay,Indiana,2/14/2025,Commercial Table Egg Layer,1454600
48,Darke,Ohio,2/14/2025,Commercial Turkey Meat Bird,20100
49,Randolph,Indiana,2/14/2025,WOAH Non-Poultry,70
50,Jay,Indiana,2/14/2025,Commercial Table Egg Layer,1224800
51,Mercer,Ohio,2/14/2025,Commercial Turkey Meat Bird,16700
52,Saunders,Nebraska,2/14/2025,WOAH Non-Poultry,50
53,Buena Vista,Iowa,2/14/2025,Commercial Turkey Meat Bird,26700
54,Auglaize,Ohio,2/13/2025,Commercial Table Egg Layer,210600
55,Sussex,Delaware,2/13/2025,WOAH Non-Poultry,30
56,Mercer,Ohio,2/13/2025,Commercial Table Egg Layer,125800
57,Riverside,California,2/13/2025,WOAH Poultry,8300
58,Monroe,Michigan,2/13/2025,WOAH Non-Poultry,30
59,Platte,Wyoming,2/12/2025,WOAH Non-Poultry,0
60,Mercer,Ohio,2/12/2025,Commercial Table Egg Layer,131000
61,Lawrence,Missouri,2/12/2025,Commercial Turkey Breeder Hens,13000
62,Lancaster,Pennsylvania,2/12/2025,WOAH Poultry,600
63,Merced,California,2/12/2025,Commercial Broiler Production,280600
64,Weld,Colorado,2/12/2025,WOAH Poultry,150
65,Weld,Colorado,2/12/2025,WOAH Non-Poultry,20
66,Crow Wing,Minnesota,2/12/2025,WOAH Non-Poultry,160
67,Madison,New York,2/11/2025,WOAH Non-Poultry,20
68,Jay,Indiana,2/11/2025,Commercial Table Egg Layer,912000
69,Mercer,Ohio,2/11/2025,Commercial Table Egg Pullets,20000
70,Yankton,South Dakota,2/11/2025,WOAH Non-Poultry,50
71,Cumberland,Pennsylvania,2/11/2025,Commercial Duck Meat Bird,20000
72,Lancaster,Pennsylvania,2/11/2025,Commercial Broiler Production,80000
73,Mason,Washington,2/10/2025,WOAH Non-Poultry,7
74,Lawrence,Missouri,2/10/2025,Commercial Turkey Breeder Hens,14100
75,Mercer,Ohio,2/10/2025,Commercial Turkey Meat Bird,20100
76,Calcasieu,Louisiana,2/7/2025,WOAH Non-Poultry,10
77,Mercer,Ohio,2/7/2025,Commercial Table Egg Layer,388900
78,Lancaster,Pennsylvania,2/7/2025,WOAH Poultry,610
79,Lebanon,Pennsylvania,2/7/2025,Commercial Broiler Production,53500
80,Mercer,Ohio,2/7/2025,Commercial Turkey Meat Bird,4100
81,Mercer,Ohio,2/7/2025,Commercial Table Egg Layer,96300
82,Queens,New York,2/6/2025,Live Bird Market,200
83,Mercer,Ohio,2/6/2025,Commercial Turkey Meat Bird,19900
84,Darke,Ohio,2/6/2025,Commercial Table Egg Layer,522200
85,Mercer,Ohio,2/6/2025,Commercial Turkey Meat Bird,10100
86,Mercer,Ohio,2/6/2025,Commercial Table Egg Layer,232600
87,Bronx,New York,2/6/2025,Live Bird Market,0
88,Lancaster,Pennsylvania,2/6/2025,Commercial Duck Meat Bird,12100
89,Newton,Missouri,2/6/2025,Commercial Broiler Production,44400
90,Lancaster,Pennsylvania,2/6/2025,WOAH Poultry,14900
91,Lebanon,Pennsylvania,2/6/2025,Commercial Table Egg Layer,85100
92,Lawrence,Missouri,2/6/2025,Commercial Turkey Meat Bird,9500
93,New London,Connecticut,2/6/2025,WOAH Non-Poultry,20
94,Larimer,Colorado,2/5/2025,WOAH Non-Poultry,10
95,Cumberland,Pennsylvania,2/5/2025,Commercial Broiler Production,26400
96,Stanislaus,California,2/5/2025,Commercial Turkey Meat Bird,30200
97,Queens,New York,2/5/2025,Live Bird Market,520
98,Pinal,Arizona,2/5/2025,WOAH Non-Poultry,30
99,Auglaize,Ohio,2/5/2025,Commercial Turkey Meat Bird,11000
100,Mercer,Ohio,2/5/2025,Commercial Table Egg Layer,174600
101,Mercer,Ohio,2/5/2025,Commercial Turkey Meat Bird,8900
102,Kings,New York,2/5/2025,Live Bird Market,0
103,Mercer,Ohio,2/4/2025,Commercial Table Egg Layer,96700
104,Lawrence,Missouri,2/4/2025,Commercial Turkey Breeder Replacement Hens,14300
105,Dauphin,Pennsylvania,2/4/2025,Commercial Table Egg Layer,1975300
106,Mercer,Ohio,2/4/2025,Commercial Turkey Meat Bird,3500
107,Mercer,Ohio,2/4/2025,Commercial Table Egg Pullets,88300
108,Jasper,Missouri,2/4/2025,Commercial Turkey Meat Bird,49500
109,Newton,Missouri,2/4/2025,Commercial Turkey Meat Bird,13600
110,Queens,New York,2/4/2025,Live Bird Market,420
111,Worcester,Maryland,2/4/2025,Commercial Broiler Production,201600
