,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
1,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
2,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
3,Butte,California,12-31-2024,WOAH Non-Poultry,70
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
9,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
10,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
22,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
27,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
28,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
29,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
30,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
31,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
32,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
33,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
34,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
35,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
40,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
44,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
45,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
46,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
