,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
2,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
3,Butte,California,12-31-2024,WOAH Non-Poultry,70
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
7,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
8,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
9,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
10,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
11,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
22,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
27,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
28,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
29,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
30,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
31,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
32,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
33,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
34,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
35,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
36,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
37,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
40,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
44,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
47,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
48,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
49,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
50,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
51,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
52,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
53,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
