,County,State,Outbreak Date,Flock Type,Flock Size
0,Roosevelt,New Mexico,4/9/2025,WOAH Non-Poultry,9
1,Queens,New York,4/8/2025,Live Bird Market,0
2,Beadle,South Dakota,4/8/2025,Commercial Turkey Meat Bird,36000
3,Curry,New Mexico,4/8/2025,WOAH Poultry,0
4,Queens,New York,4/7/2025,Live Bird Market,0
5,Sheboygan,Wisconsin,4/7/2025,WOAH Poultry,38900
6,Larimer,Colorado,4/4/2025,WOAH Non-Poultry,20
7,Queens,New York,4/2/2025,Live Bird Market,40
8,Delaware,New York,4/1/2025,WOAH Non-Poultry,60
9,Kosciusko,Indiana,3/28/2025,Commercial Table Egg Pullets,21600
10,Montgomery,Maryland,3/28/2025,WOAH Non-Poultry,10
11,Queens,New York,3/27/2025,Live Bird Market,270
12,Lancaster,Pennsylvania,3/27/2025,WOAH Poultry,160
13,Queens,New York,3/26/2025,Live Bird Market,1100
14,Miami-dade,Florida,3/25/2025,WOAH Non-Poultry,4
15,Ingham,Michigan,3/24/2025,WOAH Non-Poultry,20
16,Cass,Missouri,3/21/2025,WOAH Non-Poultry,10
17,Dutchess,New York,3/21/2025,WOAH Non-Poultry,40
18,Franklin,Pennsylvania,3/21/2025,Commercial Turkey Meat Bird,13400
19,Atlantic,New Jersey,3/20/2025,WOAH Poultry,100
20,Crawford,Illinois,3/20/2025,Commercial Turkey Meat Bird,18300
21,Reno,Kansas,3/20/2025,WOAH Non-Poultry,50
22,Onondaga,New York,3/20/2025,Live Bird Market,470
23,Valencia,New Mexico,3/20/2025,WOAH Non-Poultry,80
24,Bond,Illinois,3/19/2025,WOAH Non-Poultry,8
25,Gallatin,Montana,3/19/2025,WOAH Non-Poultry,30
26,Adams,Indiana,3/18/2025,Commercial Duck Breeder,3400
27,Jay,Indiana,3/18/2025,Commercial Table Egg Pullets,1340200
28,Butler,Kansas,3/18/2025,WOAH Non-Poultry,70
29,Woodward,Oklahoma,3/17/2025,WOAH Non-Poultry,110
30,Buena Vista,Iowa,3/17/2025,Commercial Table Egg Pullets,400000
31,Lawrence,Illinois,3/13/2025,Commercial Turkey Meat Bird,15400
32,Lehigh,Pennsylvania,3/13/2025,Live Bird Market,350
33,Anne Arundel,Maryland,3/13/2025,WOAH Non-Poultry,7
34,Salem,New Jersey,3/13/2025,WOAH Non-Poultry,5
35,Hudson,New Jersey,3/12/2025,Live Bird Market,370
36,Grady,Oklahoma,3/12/2025,WOAH Non-Poultry,30
37,Philadelphia,Pennsylvania,3/12/2025,Live Bird Market,420
38,Noxubee,Mississippi,3/12/2025,Commercial Broiler Breeder,47700
39,Mercer,New Jersey,3/12/2025,Live Bird Market,370
40,Hudson,New Jersey,3/12/2025,Live Bird Market,760
41,Dallas,Iowa,3/11/2025,WOAH Non-Poultry,100
42,Dawson,Nebraska,3/11/2025,WOAH Non-Poultry,20
43,Rensselaer,New York,3/11/2025,WOAH Non-Poultry,50
44,Queens,New York,3/10/2025,Live Bird Market,1100
45,Kings,New York,3/10/2025,Live Bird Market,0
46,Montgomery,Indiana,3/10/2025,WOAH Non-Poultry,20
47,Weld,Colorado,3/10/2025,WOAH Non-Poultry,20
48,Richmond,New York,3/7/2025,Live Bird Market,450
49,Adams,Indiana,3/7/2025,Commercial Duck Breeder,3200
50,Lancaster,Pennsylvania,3/7/2025,WOAH Poultry,6500
51,Bronx,New York,3/7/2025,Live Bird Market,1000
52,Russell,Kansas,3/7/2025,WOAH Non-Poultry,20
53,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,9500
54,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,22100
55,Monroe,Michigan,3/6/2025,WOAH Non-Poultry,40
56,Kings,New York,3/6/2025,Live Bird Market,70
57,Multnomah,Oregon,3/4/2025,WOAH Non-Poultry,40
58,Will,Illinois,3/4/2025,WOAH Non-Poultry,50
59,Jay,Indiana,3/4/2025,Commercial Table Egg Layer,187200
60,Queens,New York,3/3/2025,Live Bird Market,0
61,Queens,New York,3/3/2025,Live Bird Market,150
62,Bernalillo,New Mexico,2/28/2025,WOAH Non-Poultry,50
63,Suffolk,New York,2/28/2025,WOAH Non-Poultry,3
64,Hot Springs,Wyoming,2/28/2025,WOAH Non-Poultry,10
65,Dare,North Carolina,2/28/2025,WOAH Non-Poultry,20
66,Portage,Ohio,2/28/2025,WOAH Non-Poultry,40
67,Miami-dade,Florida,2/27/2025,WOAH Poultry,120
68,Collier,Florida,2/27/2025,WOAH Non-Poultry,30
69,Dukes,Massachusetts,2/26/2025,WOAH Non-Poultry,50
70,Westchester,New York,2/26/2025,WOAH Non-Poultry,100
71,Cumberland,Maine,2/26/2025,WOAH Non-Poultry,30
72,Elkhart,Indiana,2/25/2025,Commercial Duck Breeder,1800
73,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,18600
74,Union,Indiana,2/25/2025,WOAH Non-Poultry,40
75,Jasper,Indiana,2/25/2025,WOAH Non-Poultry,90
76,Lagrange,Indiana,2/25/2025,Commercial Duck Breeder,3800
77,Mercer,Ohio,2/25/2025,Commercial Table Egg Layer,90000
78,Monroe,Michigan,2/25/2025,WOAH Non-Poultry,10
79,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,16500
80,Philadelphia,Pennsylvania,2/24/2025,Live Bird Market,1100
81,Union,New Jersey,2/22/2025,Live Bird Market,830
82,Delaware,New York,2/21/2025,WOAH Non-Poultry,240
83,Mercer,Ohio,2/21/2025,Commercial Table Egg Layer,84800
84,Broward,Florida,2/21/2025,WOAH Non-Poultry,10
85,Washington,Indiana,2/21/2025,Commercial Turkey Meat Bird,19400
86,Darke,Ohio,2/21/2025,Commercial Table Egg Layer,3090400
87,Elkhart,Indiana,2/21/2025,Commercial Duck Meat Bird,4200
