,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
1,Butte,California,12-31-2024,WOAH Non-Poultry,70
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
5,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
6,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
7,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
8,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
9,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
10,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
21,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
27,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
28,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
29,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
30,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
31,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
32,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
33,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
34,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
35,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
36,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
39,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
44,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
45,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
