,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
1,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
2,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
3,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
4,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
5,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
6,Butte,California,12-31-2024,WOAH Non-Poultry,70
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
9,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
19,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
27,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
28,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
29,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
30,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
31,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
32,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
33,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
34,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
35,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
36,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
37,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
38,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
39,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
40,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
44,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
45,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
46,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
47,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
48,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
49,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
50,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
51,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
52,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
56,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
57,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
58,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
59,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
60,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
61,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
62,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
63,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
64,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
65,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
66,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
67,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
68,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
69,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
70,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
71,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
76,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
77,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
78,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
79,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
80,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
81,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
82,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
83,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
84,Greene,Ohio,12-19-2024,WOAH Poultry,110
85,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
86,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
87,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
88,King,Washington,12-19-2023,WOAH Poultry,90
89,Lassen,California,12-19-2023,WOAH Non-Poultry,90
90,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
91,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
94,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
95,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
96,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
97,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
98,Sonoma,California,12-18-2023,WOAH Poultry,38100
99,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
100,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
101,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
102,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
103,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
104,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
105,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
106,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
107,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
108,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
109,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
110,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
111,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
112,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
113,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
114,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
115,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
116,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
117,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
118,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
119,Butte,California,12-16-2022,WOAH Non-Poultry,20
120,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
121,Latah,Idaho,12-15-2023,WOAH Poultry,200
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
124,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
125,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
126,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
127,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
128,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
129,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
130,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
131,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
132,Knox,Nebraska,12-14-2022,WOAH Poultry,160
