,County,State,Outbreak Date,Flock Type,Flock Size
0,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
1,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
2,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
3,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
4,Butte,California,12-31-2024,WOAH Non-Poultry,70
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Audrain,Missouri,12-28-2023,WOAH Poultry,330
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
27,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
28,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
29,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
30,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
31,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
32,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
33,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
34,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
35,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
36,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
37,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
38,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
39,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
44,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
47,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
48,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
50,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
51,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
58,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
59,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
60,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
61,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
62,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
63,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
64,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
65,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
66,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
67,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
68,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
69,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
70,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
71,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
76,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
77,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
78,Greene,Ohio,12-19-2024,WOAH Poultry,110
79,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
80,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
81,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
82,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
83,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
84,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
85,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
86,King,Washington,12-19-2023,WOAH Poultry,90
87,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
88,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
89,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
90,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
91,Lassen,California,12-19-2023,WOAH Non-Poultry,90
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
94,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
95,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
96,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
97,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
98,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
99,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
100,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
101,Sonoma,California,12-18-2023,WOAH Poultry,38100
102,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
103,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
104,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
105,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
106,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
107,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
108,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
109,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
110,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
111,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
112,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
113,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
114,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
115,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
116,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
117,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
118,Butte,California,12-16-2022,WOAH Non-Poultry,20
119,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
124,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
125,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
