,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
1,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
2,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
3,Butte,California,12-31-2024,WOAH Non-Poultry,70
4,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
5,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
7,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
8,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
9,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
10,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
11,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
19,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
27,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
28,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
29,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
30,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
31,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
