,County,State,Outbreak Date,Flock Type,Flock Size
0,Woodward,Oklahoma,3/13/2025,WOAH Non-Poultry,0
1,Grady,Oklahoma,3/12/2025,WOAH Non-Poultry,30
2,Philadelphia,Pennsylvania,3/12/2025,Live Bird Market,0
3,Dawson,Nebraska,3/11/2025,WOAH Non-Poultry,20
4,Rensselaer,New York,3/11/2025,WOAH Non-Poultry,40
5,Dallas,Iowa,3/11/2025,WOAH Non-Poultry,100
6,Montgomery,Indiana,3/10/2025,WOAH Non-Poultry,20
7,Queens,New York,3/10/2025,Live Bird Market,0
8,Weld,Colorado,3/10/2025,WOAH Non-Poultry,20
9,Kings,New York,3/10/2025,Live Bird Market,0
10,Russell,Kansas,3/7/2025,WOAH Non-Poultry,20
11,Bronx,New York,3/7/2025,Live Bird Market,1000
12,Adams,Indiana,3/7/2025,Commercial Duck Breeder,3200
13,Richmond,New York,3/7/2025,Live Bird Market,440
14,Kings,New York,3/6/2025,Live Bird Market,70
15,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,9500
16,Monroe,Michigan,3/6/2025,WOAH Non-Poultry,40
17,Mercer,Ohio,3/6/2025,Commercial Turkey Meat Bird,22100
18,Jay,Indiana,3/4/2025,Commercial Table Egg Layer,187200
19,Multnomah,Oregon,3/4/2025,WOAH Non-Poultry,40
20,Will,Illinois,3/4/2025,WOAH Non-Poultry,50
21,Queens,New York,3/3/2025,Live Bird Market,150
22,Queens,New York,3/3/2025,Live Bird Market,500
23,Dare,North Carolina,2/28/2025,WOAH Non-Poultry,20
24,Hot Springs,Wyoming,2/28/2025,WOAH Non-Poultry,10
25,Suffolk,New York,2/28/2025,WOAH Non-Poultry,3
26,Bernalillo,New Mexico,2/28/2025,WOAH Non-Poultry,50
27,Portage,Ohio,2/28/2025,WOAH Non-Poultry,40
28,Miami-dade,Florida,2/27/2025,WOAH Poultry,120
29,Collier,Florida,2/27/2025,WOAH Non-Poultry,30
30,Westchester,New York,2/26/2025,WOAH Non-Poultry,100
31,Dukes,Massachusetts,2/26/2025,WOAH Non-Poultry,50
32,Cumberland,Maine,2/26/2025,WOAH Non-Poultry,30
33,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,18600
34,Lagrange,Indiana,2/25/2025,Commercial Duck Breeder,3800
35,Jay,Indiana,2/25/2025,Commercial Turkey Meat Bird,16500
36,Monroe,Michigan,2/25/2025,WOAH Non-Poultry,10
37,Mercer,Ohio,2/25/2025,Commercial Table Egg Layer,90000
38,Union,Indiana,2/25/2025,WOAH Non-Poultry,40
39,Elkhart,Indiana,2/25/2025,Commercial Duck Breeder,1800
40,Jasper,Indiana,2/25/2025,WOAH Non-Poultry,90
41,Philadelphia,Pennsylvania,2/24/2025,Live Bird Market,1100
42,Union,New Jersey,2/22/2025,Live Bird Market,840
43,Mercer,Ohio,2/21/2025,Commercial Table Egg Layer,84800
44,Darke,Ohio,2/21/2025,Commercial Table Egg Layer,3090400
45,Mercer,Ohio,2/21/2025,WOAH Poultry,55900
46,Broward,Florida,2/21/2025,WOAH Non-Poultry,10
47,Elkhart,Indiana,2/21/2025,Commercial Duck Meat Bird,4200
48,Delaware,New York,2/21/2025,WOAH Non-Poultry,240
49,Washington,Indiana,2/21/2025,Commercial Turkey Meat Bird,19400
50,Cumberland,Maine,2/20/2025,WOAH Non-Poultry,80
51,Luzerne,Pennsylvania,2/20/2025,WOAH Non-Poultry,90
52,Sac,Iowa,2/20/2025,Commercial Turkey Meat Bird,29700
53,Butler,Pennsylvania,2/20/2025,WOAH Non-Poultry,610
54,Graham,Arizona,2/19/2025,WOAH Non-Poultry,280
55,Churchill,Nevada,2/18/2025,WOAH Non-Poultry,20
56,Darke,Ohio,2/18/2025,Commercial Table Egg Layer,164900
57,Stark,Ohio,2/18/2025,WOAH Non-Poultry,30
58,Mercer,Ohio,2/18/2025,Commercial Turkey Meat Bird,10600
59,Mercer,Ohio,2/14/2025,Commercial Turkey Meat Bird,16700
60,Darke,Ohio,2/14/2025,Commercial Turkey Meat Bird,20100
61,Washington,Indiana,2/14/2025,Commercial Turkey Meat Bird,14100
62,Randolph,Indiana,2/14/2025,WOAH Non-Poultry,70
63,Buena Vista,Iowa,2/14/2025,Commercial Turkey Meat Bird,26700
64,Saunders,Nebraska,2/14/2025,WOAH Non-Poultry,50
65,Jay,Indiana,2/14/2025,Commercial Table Egg Layer,1454600
66,Jay,Indiana,2/14/2025,Commercial Table Egg Layer,1224800
67,Auglaize,Ohio,2/13/2025,Commercial Table Egg Layer,210600
68,Mercer,Ohio,2/13/2025,Commercial Table Egg Layer,125800
69,Monroe,Michigan,2/13/2025,WOAH Non-Poultry,30
70,Riverside,California,2/13/2025,WOAH Poultry,11400
71,Sussex,Delaware,2/13/2025,WOAH Non-Poultry,30
72,Platte,Wyoming,2/12/2025,WOAH Non-Poultry,0
73,Weld,Colorado,2/12/2025,WOAH Poultry,150
74,Merced,California,2/12/2025,Commercial Broiler Production,280600
75,Lawrence,Missouri,2/12/2025,Commercial Turkey Breeder Hens,13000
76,Crow Wing,Minnesota,2/12/2025,WOAH Non-Poultry,160
77,Mercer,Ohio,2/12/2025,Commercial Table Egg Layer,131000
78,Weld,Colorado,2/12/2025,WOAH Non-Poultry,20
79,Lancaster,Pennsylvania,2/12/2025,WOAH Poultry,600
80,Cumberland,Pennsylvania,2/11/2025,Commercial Duck Meat Bird,20000
81,Jay,Indiana,2/11/2025,Commercial Table Egg Layer,912000
82,Madison,New York,2/11/2025,WOAH Non-Poultry,20
83,Mercer,Ohio,2/11/2025,Commercial Table Egg Pullets,20000
84,Yankton,South Dakota,2/11/2025,WOAH Non-Poultry,50
85,Lancaster,Pennsylvania,2/11/2025,Commercial Broiler Production,80000
86,Mason,Washington,2/10/2025,WOAH Non-Poultry,7
87,Mercer,Ohio,2/10/2025,Commercial Turkey Meat Bird,20100
88,Lawrence,Missouri,2/10/2025,Commercial Turkey Breeder Hens,14100
89,Mercer,Ohio,2/7/2025,Commercial Table Egg Layer,96300
90,Mercer,Ohio,2/7/2025,Commercial Table Egg Layer,388900
91,Calcasieu,Louisiana,2/7/2025,WOAH Non-Poultry,10
92,Lebanon,Pennsylvania,2/7/2025,Commercial Broiler Production,53500
93,Lancaster,Pennsylvania,2/7/2025,WOAH Poultry,610
94,Mercer,Ohio,2/7/2025,Commercial Turkey Meat Bird,4100
95,Lawrence,Missouri,2/6/2025,Commercial Turkey Meat Bird,9500
96,Mercer,Ohio,2/6/2025,Commercial Turkey Meat Bird,10100
97,Mercer,Ohio,2/6/2025,Commercial Turkey Meat Bird,19900
98,Mercer,Ohio,2/6/2025,Commercial Table Egg Layer,232600
99,Bronx,New York,2/6/2025,Live Bird Market,0
100,Lancaster,Pennsylvania,2/6/2025,Commercial Duck Meat Bird,12100
101,Lebanon,Pennsylvania,2/6/2025,Commercial Table Egg Layer,84100
102,Queens,New York,2/6/2025,Live Bird Market,200
103,Lancaster,Pennsylvania,2/6/2025,WOAH Poultry,14900
104,Newton,Missouri,2/6/2025,Commercial Broiler Production,44400
105,New London,Connecticut,2/6/2025,WOAH Non-Poultry,20
106,Darke,Ohio,2/6/2025,Commercial Table Egg Layer,522200
107,Cumberland,Pennsylvania,2/5/2025,Commercial Broiler Production,26400
108,Pinal,Arizona,2/5/2025,WOAH Non-Poultry,30
109,Mercer,Ohio,2/5/2025,Commercial Table Egg Layer,174600
110,Larimer,Colorado,2/5/2025,WOAH Non-Poultry,10
111,Mercer,Ohio,2/5/2025,Commercial Turkey Meat Bird,8900
112,Auglaize,Ohio,2/5/2025,Commercial Turkey Meat Bird,11000
113,Kings,New York,2/5/2025,Live Bird Market,0
114,Stanislaus,California,2/5/2025,Commercial Turkey Meat Bird,30200
115,Queens,New York,2/5/2025,Live Bird Market,520
116,Alpena,Michigan,2/4/2025,WOAH Non-Poultry,8
117,Harvey,Kansas,2/4/2025,WOAH Non-Poultry,50
118,Mercer,Ohio,2/4/2025,Commercial Turkey Meat Bird,3500
119,Mercer,Ohio,2/4/2025,Commercial Table Egg Pullets,88300
120,Jasper,Missouri,2/4/2025,Commercial Turkey Meat Bird,49500
121,Dauphin,Pennsylvania,2/4/2025,Commercial Table Egg Layer,1975300
122,Mercer,Ohio,2/4/2025,Commercial Turkey Meat Bird,11600
123,Mercer,Ohio,2/4/2025,Commercial Turkey Meat Bird,12200
124,Darke,Ohio,2/4/2025,Commercial Turkey Meat Bird,5400
125,Newton,Missouri,2/4/2025,Commercial Turkey Meat Bird,13600
126,Worcester,Maryland,2/4/2025,Commercial Broiler Production,201600
127,Bronx,New York,2/4/2025,Live Bird Market,100
128,Lawrence,Missouri,2/4/2025,Commercial Turkey Breeder Replacement Hens,14300
129,Mercer,Ohio,2/4/2025,Commercial Table Egg Layer,96700
130,Queens,New York,2/4/2025,Live Bird Market,420
131,Adams,Pennsylvania,2/4/2025,WOAH Non-Poultry,30
132,San Joaquin,California,2/3/2025,Commercial Turkey Meat Bird,22200
133,Klamath,Oregon,2/3/2025,WOAH Non-Poultry,10
134,O'brien,Iowa,2/2/2025,Commercial Table Egg Layer,241600
135,Montgomery,Maryland,1/31/2025,WOAH Non-Poultry,10
136,Mercer,Ohio,1/31/2025,Commercial Table Egg Layer,748800
137,Mcdonald,Missouri,1/31/2025,Commercial Broiler Production,131400
138,Barry,Missouri,1/31/2025,Commercial Turkey Meat Bird,34000
139,Virginia Beach City,Virginia,1/31/2025,WOAH Non-Poultry,210
140,Darke,Ohio,1/31/2025,Commercial Turkey Meat Bird,11700
141,Mercer,Ohio,1/31/2025,Commercial Turkey Meat Bird,22000
142,Jerome,Idaho,1/30/2025,WOAH Non-Poultry,10
143,Mercer,Ohio,1/30/2025,Commercial Table Egg Layer,437100
144,Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,11200
145,Darke,Ohio,1/30/2025,Commercial Table Egg Layer,150700
146,Monroe,Pennsylvania,1/30/2025,WOAH Non-Poultry,30
147,Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,8700
148,Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,4600
149,Broward,Florida,1/30/2025,WOAH Non-Poultry,70
150,Van Wert,Ohio,1/30/2025,Commercial Turkey Meat Bird,21400
151,Mcdonald,Missouri,1/30/2025,Commercial Turkey Meat Bird,11700
152,Nance,Nebraska,1/30/2025,WOAH Non-Poultry,70
153,Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,21700
154,Merced,California,1/29/2025,Commercial Duck Meat Bird,87800
155,Darke,Ohio,1/29/2025,Commercial Turkey Meat Bird,9700
156,Mercer,Ohio,1/29/2025,Commercial Turkey Meat Bird,9000
157,San Mateo,California,1/29/2025,WOAH Non-Poultry,4
158,Darke,Ohio,1/29/2025,Commercial Table Egg Layer,1356300
159,Newton,Missouri,1/29/2025,Commercial Turkey Meat Bird,19000
160,Madera,California,1/29/2025,Commercial Duck Meat Bird,18600
161,Mercer,Ohio,1/29/2025,Commercial Turkey Meat Bird,20100
162,Shelby,Indiana,1/28/2025,WOAH Non-Poultry,60
163,Sampson,North Carolina,1/28/2025,Commercial Turkey Breeder Hens,24100
164,Newton,Missouri,1/28/2025,Commercial Turkey Meat Bird,14300
165,Lehigh,Pennsylvania,1/28/2025,WOAH Poultry,48000
166,Jackson,Indiana,1/28/2025,Commercial Table Egg Layer,2633900
167,Kent,Delaware,1/28/2025,Commercial Broiler Production,145800
168,Mcdonald,Missouri,1/28/2025,Commercial Broiler Breeder,18300
169,Adams,Indiana,1/27/2025,Commercial Turkey Meat Bird,19900
170,Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,5100
171,Mercer,Ohio,1/27/2025,Commercial Duck Meat Bird,12600
172,Kearney,Nebraska,1/27/2025,WOAH Non-Poultry,90
173,Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,9300
174,Sampson,North Carolina,1/27/2025,Commercial Turkey Breeder Replacement Hens,1900
175,Ulster,New York,1/27/2025,WOAH Non-Poultry,60
176,Pinal,Arizona,1/27/2025,Commercial Table Egg Layer,316600
177,Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,12600
178,Newton,Missouri,1/24/2025,Commercial Table Egg Layer,1149400
179,Wadena,Minnesota,1/24/2025,Commercial Turkey Meat Bird,296300
180,Washington,Rhode Island,1/24/2025,WOAH Non-Poultry,50
181,Darke,Ohio,1/24/2025,Commercial Table Egg Layer,1818000
182,Windsor,Vermont,1/24/2025,WOAH Non-Poultry,20
183,Orange,Florida,1/24/2025,WOAH Non-Poultry,1
184,Franklin,Washington,1/24/2025,Commercial Table Egg Layer,307800
185,Cleveland,Arkansas,1/24/2025,Commercial Broiler Breeder,19500
186,Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,19600
187,Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,18500
188,Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,9500
189,Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,5100
190,Allen,Indiana,1/24/2025,WOAH Poultry,26100
191,Darke,Ohio,1/24/2025,Commercial Turkey Meat Bird,22300
192,Mcdonald,Missouri,1/24/2025,Primary Broiler Breeder Pedigree Farm,650
193,Plymouth,Massachusetts,1/24/2025,WOAH Non-Poultry,30
194,New Haven,Connecticut,1/24/2025,WOAH Non-Poultry,30
195,Mercer,Ohio,1/23/2025,Commercial Turkey Meat Bird,11200
196,Yolo,California,1/23/2025,WOAH Non-Poultry,6
197,Mercer,Ohio,1/23/2025,Commercial Table Egg Layer,1468900
198,Putnam,New York,1/23/2025,WOAH Non-Poultry,60
199,Mercer,Ohio,1/23/2025,Commercial Table Egg Layer,85000
200,Darke,Ohio,1/23/2025,Commercial Table Egg Pullets,349200
201,Cook,Illinois,1/22/2025,WOAH Poultry,500
202,Jasper,Missouri,1/22/2025,Commercial Turkey Meat Bird,49400
203,Newton,Missouri,1/22/2025,Commercial Turkey Meat Bird,23000
204,Lawrence,Missouri,1/22/2025,Commercial Turkey Meat Bird,52400
205,Dorchester,Maryland,1/22/2025,Commercial Broiler Production,143900
206,Cleveland,Arkansas,1/22/2025,Commercial Broiler Production,106900
207,Newton,Missouri,1/22/2025,Commercial Turkey Meat Bird,21300
208,Newton,Missouri,1/21/2025,Commercial Table Egg Layer,1175800
209,Accomack,Virginia,1/21/2025,Commercial Broiler Production,441000
210,Umatilla,Oregon,1/21/2025,WOAH Non-Poultry,50
211,Caroline,Maryland,1/21/2025,Commercial Broiler Production,108400
212,Elbert,Georgia,1/21/2025,Commercial Broiler Production,130400
213,Darke,Ohio,1/17/2025,Commercial Table Egg Pullets,200000
214,Jay,Indiana,1/17/2025,Commercial Turkey Meat Bird,18800
215,Elbert,Georgia,1/17/2025,Commercial Broiler Breeder,45500
216,Suffolk,New York,1/17/2025,Commercial Duck Meat Bird,101000
217,Darke,Ohio,1/17/2025,Commercial Table Egg Layer,103200
218,Wayne,Michigan,1/16/2025,WOAH Non-Poultry,120
219,Queen Anne's,Maryland,1/16/2025,Commercial Broiler Production,146900
220,Mercer,Ohio,1/16/2025,Commercial Table Egg Layer,1432000
221,Riverside,California,1/16/2025,Commercial Table Egg Pullets,208200
222,Jay,Indiana,1/16/2025,Commercial Table Egg Layer,353300
223,Greene,Tennessee,1/16/2025,WOAH Non-Poultry,30
224,Dakota,Minnesota,1/16/2025,Commercial Turkey Meat Bird,79900
225,Darke,Ohio,1/15/2025,Commercial Turkey Meat Bird,5300
226,Darke,Ohio,1/15/2025,Commercial Turkey Meat Bird,15800
227,Mercer,Ohio,1/15/2025,Commercial Turkey Meat Bird,10400
228,Darke,Ohio,1/15/2025,Commercial Turkey Meat Bird,5300
229,New London,Connecticut,1/15/2025,WOAH Non-Poultry,20
230,Owyhee,Idaho,1/15/2025,WOAH Non-Poultry,30
231,Darke,Ohio,1/14/2025,Commercial Turkey Meat Bird,9900
232,Caroline,Maryland,1/14/2025,Commercial Broiler Production,228300
233,Newton,Missouri,1/14/2025,Commercial Table Egg Layer,1585100
234,Mercer,Ohio,1/14/2025,Commercial Turkey Meat Bird,4500
235,Orange,Florida,1/14/2025,Live Bird Market,1300
236,Hillsborough,Florida,1/14/2025,Live Bird Market,280
237,Phillips,Kansas,1/13/2025,WOAH Non-Poultry,60
238,Culebra,Puerto Rico,1/13/2025,WOAH Poultry,380
239,Gregory,South Dakota,1/10/2025,WOAH Non-Poultry,90
240,Brazoria,Texas,1/9/2025,WOAH Non-Poultry,90
241,Union,Oregon,1/9/2025,WOAH Poultry,380
242,Burnet,Texas,1/9/2025,WOAH Non-Poultry,10
243,Clayton,Georgia,1/9/2025,WOAH Non-Poultry,10
244,Darke,Ohio,1/9/2025,Commercial Turkey Meat Bird,21100
245,Oakland,Michigan,1/9/2025,WOAH Non-Poultry,100
246,Kent,Delaware,1/9/2025,Commercial Broiler Production,194800
247,Canyon,Idaho,1/9/2025,WOAH Non-Poultry,50
248,Darke,Ohio,1/8/2025,Commercial Table Egg Layer,245300
249,Perry,Missouri,1/8/2025,WOAH Non-Poultry,20
250,Palm Beach,Florida,1/7/2025,WOAH Non-Poultry,4
251,Hanson,South Dakota,1/7/2025,WOAH Non-Poultry,50
252,Jay,Indiana,1/7/2025,Commercial Turkey Meat Bird,20300
253,Hyde,North Carolina,1/7/2025,Commercial Table Egg Layer,3314900
254,Clinton,Iowa,1/7/2025,WOAH Non-Poultry,40
255,Olmsted,Minnesota,1/6/2025,WOAH Non-Poultry,120
256,Ottawa,Michigan,1/4/2025,Commercial Turkey Meat Bird,55200
257,Ottawa,Michigan,1/4/2025,Commercial Turkey Meat Bird,47000
258,Kent,Delaware,1/4/2025,Commercial Broiler Production,125000
259,Canyon,Idaho,1/3/2025,WOAH Non-Poultry,20
260,Canyon,Idaho,1/3/2025,WOAH Non-Poultry,20
261,Canyon,Idaho,1/3/2025,WOAH Non-Poultry,70
262,Stanislaus,California,1/3/2025,Commercial Broiler Production,236100
263,Canyon,Idaho,1/3/2025,WOAH Non-Poultry,20
264,Pocahontas,West Virginia,1/3/2025,WOAH Poultry,9
265,Butte,California,1/3/2025,Commercial Raised for Release Upland Game Bird,38700
266,Sharp,Arkansas,1/3/2025,WOAH Non-Poultry,20
267,Stanislaus,California,1/2/2025,Commercial Table Egg Layer,75200
268,Spartanburg,South Carolina,12/31/2024,Commercial Upland Gamebird Producer,920
269,Miner,South Dakota,12/31/2024,WOAH Poultry,1500
270,Riverside,California,12/31/2024,Commercial Table Egg Layer,181300
271,Butte,California,12/31/2024,WOAH Non-Poultry,70
272,Ottawa,Michigan,12/31/2024,Commercial Turkey Meat Bird,29400
273,Ottawa,Michigan,12/31/2024,Commercial Turkey Meat Bird,23400
274,Jackson,Michigan,12/31/2024,WOAH Non-Poultry,9
275,Johnson,Nebraska,12/30/2024,Commercial Broiler Production,209100
276,Twin Falls,Idaho,12/30/2024,WOAH Non-Poultry,30
277,Tipton,Tennessee,12/30/2024,WOAH Non-Poultry,10
278,Clay,Arkansas,12/30/2024,Commercial Broiler Production,227500
279,Copiah,Mississippi,12/30/2024,Commercial Broiler Production,210000
280,Darke,Ohio,12/27/2024,Commercial Table Egg Layer,931300
281,Coffey,Kansas,12/27/2024,WOAH Non-Poultry,50
282,Sheridan,Wyoming,12/27/2024,WOAH Non-Poultry,0
283,Stanislaus,California,12/27/2024,Commercial Broiler Production,101700
284,Anderson,Kansas,12/27/2024,WOAH Non-Poultry,40
285,Cooper,Missouri,12/27/2024,Commercial Turkey Breeder Hens,14900
286,Ottawa,Michigan,12/27/2024,Commercial Turkey Meat Bird,113200
287,Sacramento,California,12/27/2024,Commercial Broiler Production,153800
288,Pemiscot,Missouri,12/27/2024,WOAH Non-Poultry,70
289,Burnett,Wisconsin,12/27/2024,Commercial Turkey Meat Bird,18600
290,Phillips,Kansas,12/26/2024,WOAH Non-Poultry,10
291,Adair,Oklahoma,12/24/2024,Commercial Turkey Meat Bird,81400
292,Riverside,California,12/24/2024,Commercial Table Egg Layer,1105500
293,Franklin,Vermont,12/24/2024,WOAH Non-Poultry,20
294,Dade,Missouri,12/24/2024,WOAH Non-Poultry,90
295,Stanislaus,California,12/24/2024,Commercial Table Egg Layer,392100
296,Adair,Oklahoma,12/24/2024,Commercial Turkey Meat Bird,45000
297,San Joaquin,California,12/24/2024,Commercial Table Egg Layer,627800
298,Cass,Missouri,12/24/2024,WOAH Non-Poultry,60
299,Lawrence,Illinois,12/23/2024,Commercial Turkey Meat Bird,41400
300,El Dorado,California,12/23/2024,WOAH Non-Poultry,30
301,Ottawa,Michigan,12/23/2024,Commercial Turkey Meat Bird,75500
302,Greene,Mississippi,12/20/2024,Commercial Broiler Breeder,26000
303,Houston,Minnesota,12/20/2024,WOAH Non-Poultry,60
304,Chippewa,Minnesota,12/20/2024,Commercial Turkey Meat Bird,54800
305,Cooper,Missouri,12/20/2024,Commercial Turkey Breeder Hens,13000
306,Craighead,Arkansas,12/20/2024,WOAH Non-Poultry,50
307,Sedgwick,Kansas,12/20/2024,WOAH Non-Poultry,30
308,Coos,Oregon,12/19/2024,WOAH Non-Poultry,40
309,Deschutes,Oregon,12/19/2024,WOAH Non-Poultry,90
310,Fillmore,Minnesota,12/19/2024,Commercial Turkey Meat Bird,28600
311,Jackson,Arkansas,12/19/2024,WOAH Non-Poultry,230
312,Stanislaus,California,12/19/2024,Commercial Table Egg Layer,295800
313,Cullman,Alabama,12/19/2024,Commercial Broiler Production,116000
314,Pickens,Alabama,12/19/2024,WOAH Non-Poultry,50
315,Stearns,Minnesota,12/19/2024,Commercial Turkey Meat Bird,12600
316,Greene,Ohio,12/19/2024,WOAH Poultry,110
317,Kenosha,Wisconsin,12/19/2024,WOAH Poultry,6
318,Jefferson Davis,Louisiana,12/18/2024,WOAH Non-Poultry,30
319,Howard,Missouri,12/18/2024,WOAH Non-Poultry,60
320,Nelson,North Dakota,12/18/2024,WOAH Non-Poultry,60
321,Rooks,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5300
