,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
2,Butte,California,12-31-2024,WOAH Non-Poultry,70
3,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
4,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
6,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
7,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
8,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
9,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
10,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
11,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
19,Audrain,Missouri,12-28-2023,WOAH Poultry,330
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
27,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
28,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
29,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
30,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
31,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
32,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
33,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
34,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
35,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
38,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
39,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
40,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
44,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
45,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
46,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
47,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
48,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
49,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
50,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
58,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
59,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
60,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
61,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
62,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
63,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
64,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
65,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
66,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
67,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
68,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
69,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
70,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
71,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
76,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
77,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
78,Greene,Ohio,12-19-2024,WOAH Poultry,110
79,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
80,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
81,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
82,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
83,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
84,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
85,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
86,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
87,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
88,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
89,King,Washington,12-19-2023,WOAH Poultry,90
90,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
91,Lassen,California,12-19-2023,WOAH Non-Poultry,90
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
94,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
95,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
96,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
97,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
98,Sonoma,California,12-18-2023,WOAH Poultry,38100
99,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
100,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
101,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
102,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
103,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
104,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
105,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
106,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
107,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
108,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
109,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
110,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
111,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
112,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
113,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
114,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
115,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
116,Butte,California,12-16-2022,WOAH Non-Poultry,20
117,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
118,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
119,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
124,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
125,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
126,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
127,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
128,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
129,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
130,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100
131,Weakley,Tennessee,12-14-2022,WOAH Poultry,37900
132,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
133,Knox,Nebraska,12-14-2022,WOAH Poultry,160
134,Spink,South Dakota,12-14-2022,WOAH Poultry,280
135,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
136,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200
137,Tulare,California,12-13-2024,Commercial Broiler Production,514500
138,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500
139,San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000
140,Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000
141,Merced,California,12-13-2023,Commercial Table Egg Layer,1358600
142,Weld,Colorado,12-13-2023,WOAH Non-Poultry,30
143,Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000
144,Merced,California,12-13-2023,Commercial Broiler Production,183100
145,Columbia,Oregon,12-13-2022,WOAH Non-Poultry,100
146,Linn,Oregon,12-13-2022,WOAH Non-Poultry,20
147,Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,11400
148,Sac,Iowa,12-12-2024,Commercial Turkey Meat Bird,45200
149,Kingsbury,South Dakota,12-12-2024,Commercial Turkey Meat Bird,39300
150,Pope,Arkansas,12-12-2024,WOAH Non-Poultry,40
151,Craighead,Arkansas,12-12-2024,WOAH Non-Poultry,10
152,Etowah,Alabama,12-12-2023,WOAH Non-Poultry,80
153,Lake,South Dakota,12-12-2023,Commercial Turkey Meat Bird,76000
154,St. Louis,Missouri,12-12-2023,WOAH Non-Poultry,20
155,Dutchess,New York,12-12-2023,WOAH Poultry,4200
156,Hanson,South Dakota,12-12-2022,Commercial Turkey Meat Bird,23900
157,Ida,Iowa,12-12-2022,Commercial Turkey Meat Bird,90000
158,Cherokee,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
159,Buena Vista,Iowa,12-12-2022,Commercial Turkey Meat Bird,51200
160,Sac,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
161,Wadena,Minnesota,12-12-2022,Commercial Turkey Meat Bird,298100
162,Brule,South Dakota,12-11-2024,Commercial Turkey Meat Bird,50900
163,Adair,Oklahoma,12-11-2024,WOAH Poultry,40000
164,Sioux,Iowa,12-11-2024,Commercial Table Egg Layer,1575700
165,Dodge,Nebraska,12-11-2024,WOAH Non-Poultry,10
166,Palo Alto,Iowa,12-11-2024,Commercial Turkey Meat Bird,31100
167,Olmsted,Minnesota,12-11-2023,Commercial Turkey Breeder Hens,14400
168,Charles Mix,South Dakota,12-10-2024,Commercial Turkey Meat Bird,32400
169,Jewell,Kansas,12-10-2024,WOAH Non-Poultry,40
170,Moody,South Dakota,12-10-2024,Commercial Turkey Meat Bird,46700
171,Beadle,South Dakota,12-10-2024,Commercial Turkey Meat Bird,52200
172,Tulare,California,12-10-2024,Commercial Broiler Production,330200
173,Daviess,Missouri,12-10-2024,WOAH Poultry,19900
174,Cedar,Missouri,12-10-2024,WOAH Non-Poultry,20
175,Stanislaus,California,12-10-2024,Commercial Duck Breeder,82600
176,La Plata,Colorado,12-10-2024,WOAH Non-Poultry,20
177,Franklin,Idaho,12-10-2024,WOAH Non-Poultry,40
178,Jefferson,Idaho,12-10-2024,WOAH Non-Poultry,60
179,Lafayette,Arkansas,12-09-2024,WOAH Non-Poultry,40
180,Kern,California,12-09-2024,WOAH Poultry,45400
181,Hutchinson,South Dakota,12-09-2024,Commercial Turkey Meat Bird,42800
182,Beadle,South Dakota,12-09-2024,Commercial Turkey Meat Bird,50600
183,Polk,Oregon,12-09-2022,WOAH Non-Poultry,70
184,Clackamas,Oregon,12-09-2022,WOAH Non-Poultry,60
185,Onslow,North Carolina,12-09-2022,WOAH Non-Poultry,60
186,Prowers,Colorado,12-09-2022,Commercial Upland Gamebird Producer,11000
187,Osage,Missouri,12-09-2022,Commercial Turkey Meat Bird,19700
188,Mills,Iowa,12-08-2023,WOAH Non-Poultry,10
