,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
1,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
5,Butte,California,12-31-2024,WOAH Non-Poultry,70
6,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
27,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
28,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
29,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
30,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
31,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
32,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
33,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
