,County,State,Outbreak Date,Flock Type,Flock Size
0,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
1,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Butte,California,12-31-2024,WOAH Non-Poultry,70
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
6,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
9,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
10,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
11,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
19,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
20,Audrain,Missouri,12-28-2023,WOAH Poultry,330
21,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
22,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
27,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
30,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
31,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
32,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
33,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
34,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
35,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
36,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
37,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
38,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
39,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
44,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
45,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
46,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
47,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
48,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
49,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
