,County,State,Outbreak Date,Flock Type,Flock Size
0,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
2,Butte,California,12-31-2024,WOAH Non-Poultry,70
3,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
4,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
6,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
9,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
21,Audrain,Missouri,12-28-2023,WOAH Poultry,330
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
26,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
27,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
30,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
31,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
32,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
33,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
34,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
35,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
36,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
39,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
40,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
44,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
45,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
46,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
47,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
48,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
50,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
51,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
56,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
57,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
58,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
59,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
60,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
61,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
62,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
63,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
64,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
65,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
66,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
67,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
68,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
69,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
70,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
71,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
72,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
75,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
76,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
77,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
78,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
79,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
80,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
81,Greene,Ohio,12-19-2024,WOAH Poultry,110
