,County,State,Outbreak Date,Flock Type,Flock Size
0,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
1,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
2,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
3,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
4,Butte,California,12-31-2024,WOAH Non-Poultry,70
5,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
6,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
7,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
8,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
9,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
14,Snohomish,Washington,12-30-2022,WOAH Poultry,180
15,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
16,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Audrain,Missouri,12-28-2023,WOAH Poultry,330
19,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
20,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
23,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
24,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
26,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
27,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
30,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
31,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
32,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
33,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
34,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
35,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
36,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
37,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
38,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
39,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
40,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
44,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
45,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
46,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
47,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
48,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
49,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
50,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
51,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,41400
52,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
53,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
56,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
57,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
58,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
59,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
60,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
61,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
62,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
63,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
64,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
65,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
66,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
67,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
68,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
69,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
70,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
71,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
72,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
73,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
74,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
75,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
76,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
77,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
78,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
79,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
80,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
81,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
82,Greene,Ohio,12-19-2024,WOAH Poultry,110
83,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
84,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
85,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
86,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
87,Lassen,California,12-19-2023,WOAH Non-Poultry,90
88,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
89,King,Washington,12-19-2023,WOAH Poultry,90
90,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
91,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
94,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
95,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
96,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
97,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
98,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
99,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
100,Sonoma,California,12-18-2023,WOAH Poultry,38100
101,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
102,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
103,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
104,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
105,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
106,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
107,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
108,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
109,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
110,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
111,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
112,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
113,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
114,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
115,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
116,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
117,Butte,California,12-16-2022,WOAH Non-Poultry,20
118,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
119,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
124,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
125,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
126,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
127,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
128,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
129,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
130,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
131,Knox,Nebraska,12-14-2022,WOAH Poultry,160
132,Spink,South Dakota,12-14-2022,WOAH Poultry,280
133,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100
134,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
135,Weakley,Tennessee,12-14-2022,WOAH Poultry,37900
136,Tulare,California,12-13-2024,Commercial Broiler Production,514500
137,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500
138,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200
139,Weld,Colorado,12-13-2023,WOAH Non-Poultry,30
140,San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000
141,Merced,California,12-13-2023,Commercial Broiler Production,183100
142,Merced,California,12-13-2023,Commercial Table Egg Layer,1358600
143,Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000
144,Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000
145,Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,11400
